category,name
Ferretería,Abrazadera #20 de 3/4 a 1 3/4ancho 1/2 bolsa x10pz
Ferretería,Abrazadera #4 de 3/8 a 5/8ancho 1/2 bolsa x10pz
Ferretería,Hilo P/Construcción 165 m
Ferretería,Hilo P/Construcción 65 m
Ferretería,"Perro Hierro Maleable 1/8"""""
Ferretería,Lona premium roja 4 x 5 m
Ferretería,Lona reforzada uso ligero4 x 5m gris
Ferretería,Tensores ajustables 24''amarillo juego 2pz
Ferretería,Tensores ajustables 48''rojo juego 2pz
Ferretería,Cinchos plásticos 2.5 x 100 mmcolor negro 100 pz
Ferretería,Cinchos plásticos 2.5 x 100 mmcolor natural 100 pz
Ferretería,Cinchos plásticos 3.6 x 150 mmcolor natural 100 pz
Ferretería,Cinchos plásticos 4.8 x 200 mmcolor natural 50 pz
Ferretería,Cinchos plásticos 4.8 x 300 mmcolor natural 50 pz
Ferretería,Cinchos plásticos 4.8 x 350 mmcolor negro 50 pz
Ferretería,Cinchos plásticos 4.8 x 350 mmcolor natural 50 pz
Ferretería,Cinchos plásticos 4.8 x 450 mmcolor negro 50 pz
Ferretería,Cinchos plásticos 4.8 x 450 mmcolor natural 50 pz
Ferretería,Cinchos plásticos 4.8 x 500 mmcolor negro 50 pz
Ferretería,Bisagra Bidimensional 110° Cob Comp C/T (2Pz)
Ferretería,"Bisagra Larga Plana Latón Brillante 1.5"""""
Ferretería,"Bisagra Larga Plana Latón Brillante 2.5"""""
Ferretería,"Bisagra Larga Plana Latón Brillante 3"""""
Ferretería,"Bisagra Larga Plana Niquel Sat 1.5"""""
Ferretería,"Bisagra Larga Plana Niquel Sat 1"""""
Ferretería,Broche Perico Galvanizado C/T
Ferretería,Broche Perico Laton Brillante C/T
Ferretería,Broche Perico Cobre Antiguo C/T
Ferretería,Broche Magnetico P/Puerta C/Placa Cafe C/T
Ferretería,Broche Magnetico P/Puerta C/Placa Ai C/T
Ferretería,Brida P/Tubo Ovalado Niq. C/T
Ferretería,Soporte Central P/Tubo Ovalado Niq. C/T
Ferretería,Ménsula de Acero 6 x 8' Blanco
Ferretería,Garrucha para noria 2
Ferretería,Aflojatodo HW 40 110 ml
Ferretería,Aceite Multiusos Aerosol 3 oz
Ferretería,Aceite Multiusos Aerosol 5.5 oz
Ferretería,Aceite Multiusos Aerosol 5.5 oz
Ferretería,Aceite Multiusos Aerosol 8 oz
Ferretería,Aceite Multiusos Aerosol 8 oz
Ferretería,Aceite Multiusos Aerosol 11 oz
Ferretería,Aceite multiusos 100ml
Pinturas,Barniz Transparente 500 ml
Pinturas,Barniz Transparente 250 ml
Pinturas,Barniz Transparente 1 L
Pinturas,Esmalte Tecnobril Blanco 250 ml
Pinturas,Esmalte Tecnobril Blanco 500 ml
Pinturas,Esmalte 300 Negro 250  ml
Pinturas,Aerosol Iusa Blanco Brillante
Pinturas,Pintura Aerosol Gris Primario 400 ml
Pinturas,Pintura Aerosol Azul Acuario 400 ml
Pinturas,Pintura Aerosol Naranja 400 ml
Pinturas,Pintura Aerosol Negro Metálico 400 ml
Pinturas,Pintura Aerosol Amarillo Limón 400 ml
Pinturas,Pintura Aerosol Verde Bosque 400 ml
Pinturas,Pintura Aerosol Azul Rey 400 ml
Pinturas,Pintura Aerosol Verde Ecológico 400 ml
Pinturas,Pintura Aerosol Violeta 400 ml
Pinturas,Pintura Aerosol Amarillo Cromo 400 ml
Pinturas,Pintura Aerosol Azul Cielo 400 ml
Pinturas,Pintura Aerosol Ultra Rojo 400 ml
Pinturas,Pintura Aerosol Rosa Mexicano 400 ml
Pinturas,Pintura Aerosol Naranja Fluorescente 400 ml
Pinturas,Pintura Aerosol Cobre Metálico 400 ml
Pinturas,Pintura Aerosol Verde Metálico 400 ml
Pinturas,Pintura Aerosol Crema 400 ml
Pinturas,Pintura Aerosol Rosa Fluorescente 400 ml
Pinturas,Pintura Aerosol Verde Fluorescente 400 ml
Pinturas,Pintura Aerosol Amarillo Fluorescente 400  ml
Pinturas,Aerosol Negro Mate 400 ml
Pinturas,Aerosol Negro Satinado 400 ml
Pinturas,Aerosol Naranja 400 ml
Pinturas,Aerosol Azul Metálico 400 ml
Pinturas,Aerosol Oro 400 ml
Pinturas,Aerosol Negro Metálico 400 ml
Pinturas,Aerosol Súper Negro Brillante 400 ml
Pinturas,Aerosol Súper Blanco Brillante 400 ml
Pinturas,Spray Blanco Mate x 400 ml
Pinturas,Spray Blanco x 400 ml
Pinturas,Spray Negro x 400 ml
Pinturas,Spray Rojo Cardenal x 400 ml
Pinturas,Spray Negro Satinado x 400 ml
Pinturas,Spray Café Chocolate x 400 ml
Pinturas,Spray Aluminio x 400 ml
Pinturas,Spray Transparente x 400 ml
Pinturas,Spray Cromo x 400 ml
Pinturas,Spray Primario Gris x 400 ml
Pinturas,Spray Negro Mate x 400 ml
Pinturas,Pintura Aerosol Blanco Brillante Pabla x 400 mL
Pinturas,Pintura Aerosol Negro Mate 400 ml
Pinturas,Pintura Aerosol Aluminio 400 ml
Pinturas,Pintura Aerosol Transparente 400 ml
Pinturas,Pintura Aerosol Negro Satinado 400 ml
Pinturas,Pintura Aerosol Bermellon Rojo 400 ml
Pinturas,Pintura Aerosol Tipo Cromo 400 ml
Pinturas,Pintura Aerosol Blanco Mate 400 ml
Pinturas,Pintura Aerosol Cafe 400 ml
Pinturas,Pintura Aerosol Oro Rico 400 ml
Pinturas,Pintura Aerosol Gris Acero 400 ml
Pinturas,Pintura Aerosol Oro Palido 400 ml
Pinturas,Pintura Aerosol Azul Metalico 400 ml
Herramientas,Brocha 1 Mango Plástico
Herramientas,Brocha 1 1/2 Mango Plástico
Herramientas,Brocha 2 Mango Plástico
Herramientas,Brocha 2 1/2 Mango Plátisco
Herramientas,Brocha 4  Mango Plástico
Herramientas,Brocha 5  Mango Plástico
